위도,경도,소재지도로명주소,소재지지번주소
37.6539492,127.0440527,서울특별시 도봉구 노해로63나길 17,NA
37.6531856,127.0481139,서울특별시 도봉구 마들로11길 77,NA
37.6531856,127.0481139,서울특별시 도봉구 마들로11길 77,NA
37.6527747,127.0487889,서울특별시 도봉구 마들로11가길 12,NA
37.6520293,127.0467461,서울특별시 도봉구 노해로65길 14-3,NA
37.6502254,127.0374144,서울특별시 도봉구 도봉로120길 16,NA
37.6489957,127.0361237,서울특별시 도봉구 도봉로118길 15,NA
37.648506,127.0359544,서울특별시 도봉구 도봉로110나길 54-5,NA
37.6488007,127.0385059,서울특별시 도봉구 노해로62길 51-10,NA
37.6476113,127.0371671,서울특별시 도봉구 도봉로110바길 29,NA
37.646933,127.0364212,서울특별시 도봉구 도봉로112길 31,NA
37.6437369,127.0377236,서울특별시 도봉구 도봉로104길 104,NA
37.6448751,127.0359843,서울특별시 도봉구 도봉로106길 59,NA
37.6458467,127.0390041,서울특별시 도봉구 도봉로108길 91,NA
37.6445332,127.0395853,서울특별시 도봉구 도봉로104길 142,NA
37.643659,127.0393371,서울특별시 도봉구 덕릉로63가길 18,NA
37.6416914,127.039027,서울특별시 도봉구 덕릉로61길 26,NA
37.6407796,127.0353891,서울특별시 도봉구 덕릉로59차길 24,NA
37.6397429,127.0408548,서울특별시 도봉구 덕릉로60나길 16,NA
37.6397547,127.0400887,서울특별시 도봉구 덕릉로60길 9,NA
37.638353,127.0417916,서울특별시 도봉구 덕릉로60아길 14,NA
37.6352697,127.0405724,서울특별시 도봉구 우이천로4다길 32,NA
37.6387655,127.035576,서울특별시 도봉구 덕릉로53길 35,NA
37.6372063,127.0385115,서울특별시 도봉구 덕릉로54길 23,NA
37.6339313,127.0428579,서울특별시 도봉구 덕릉로60길 150,NA
37.64569681,127.0509216,서울특별시 도봉구 덕릉로 376,NA
37.6335953,127.0408704,서울특별시 도봉구 우이천로4길 24,NA
37.6531856,127.0481139,서울특별시 도봉구 마들로11길 77,NA
37.6574111,127.040954,서울특별시 도봉구 도봉로134길 13,NA
37.6488018,127.0465188,서울특별시 도봉구 노해로66길 60,NA
37.6454582,127.0374363,서울특별시 도봉구 도봉로110아길 18,NA
37.6370547,127.0425776,서울특별시 도봉구 덕릉로62길 112,NA
37.6531856,127.0481139,서울특별시 도봉구 마들로11길 77,NA
37.6837845,127.0436733,서울특별시 도봉구 도봉산3길 79,NA
37.6721919,127.0392312,서울특별시 도봉구 시루봉로23가길 11-2,NA
37.6800142,127.0399557,서울특별시 도봉구 도봉로173가길 18-1,NA
37.6803978,127.0450051,서울특별시 도봉구 도봉로 851,NA
37.6833254,127.0451655,서울특별시 도봉구 도봉로 883-10,NA
37.682645,127.0424862,서울특별시 도봉구 도봉로175길 17,NA
37.677674,127.0418189,서울특별시 도봉구 도봉로167길 55,NA
37.677198,127.0435584,서울특별시 도봉구 도봉로169나길 56,NA
37.6704614,127.039826,서울특별시 도봉구 도당로19길 78,NA
37.6732009,127.0403166,서울특별시 도봉구 시루봉로23나길18,NA
37.6702283,127.0429722,서울특별시 도봉구 도당로31길 70,NA
37.6838352,127.0451511,서울특별시 도봉구 도봉로181길 13,NA
37.6791892,127.0356992,서울특별시 도봉구 도봉로173다길 42-18,NA
37.6709524,127.0422567,서울특별시 도봉구 도당로29길 83,NA
37.674434,127.0440507,서울특별시 도봉구 도봉로 783,NA
37.679079,127.0427429,서울특별시 도봉구 도봉로169길 57,NA
37.6742605,127.0430928,서울특별시 도봉구 도봉로159길 19,NA
37.6776695,127.0433675,서울특별시 도봉구 도봉로169나길 42-3,NA
37.6860889,127.0423943,서울특별시 도봉구 도봉로187길 63,NA
37.683413,127.0444094,서울특별시 도봉구 도봉로 181나길 16,NA
37.6772989,127.0430039,서울특별시 도봉구 도봉로 169다길 20,NA
37.6730126,127.0426474,서울특별시 도봉구 도봉로 155길 24,NA
37.669979,127.0423384,서울특별시 도봉구 도봉로 153길 20,NA
37.6886719,127.0438124,서울특별시 도봉구 도봉산4길 28-24,NA
37.6888571,127.0426547,서울특별시 도봉구 도봉산4길 28-3,NA
